customer_id,name,age,age_group,gender,loyalty_tier
CUST_001,Kavindi Ratnayake,37,35-45,Female,Silver
CUST_002,Saman Wickramasinghe,28,26-34,Male,Gold
CUST_003,Anula Fernando,27,26-34,Female,Bronze
CUST_004,Dilani Silva,57,46-60,Female,Gold
CUST_005,Anula Silva,55,46-60,Female,Platinum
CUST_006,Tharindu Gunawardena,23,18-25,Male,Bronze
CUST_007,Ishani Fernando,25,18-25,Female,Bronze
CUST_008,Dilani Gunawardena,40,35-45,Female,Bronze
CUST_009,Dilani Silva,43,35-45,Female,Silver
CUST_010,Rohan Wickramasinghe,60,46-60,Male,Gold
CUST_011,Tharushi Wickramasinghe,29,26-34,Female,Bronze
CUST_012,Ishani Wickramasinghe,43,35-45,Female,Silver
CUST_013,Nilanthi Silva,30,26-34,Female,Bronze
CUST_014,Ishani Silva,57,46-60,Female,Platinum
CUST_015,Arjuna Perera,35,35-45,Male,Bronze
CUST_016,Anula Fernando,42,35-45,Female,Silver
CUST_017,Duminda Wickramasinghe,50,46-60,Male,Bronze
CUST_018,Saman Silva,57,46-60,Male,Gold
CUST_019,Tharindu Silva,60,46-60,Male,Platinum
CUST_020,Nilanthi Silva,29,26-34,Female,Bronze
CUST_021,Arjuna Ratnayake,53,46-60,Male,Silver
CUST_022,Priyanka Silva,21,18-25,Female,Silver
CUST_023,Tharindu Perera,22,18-25,Male,Silver
CUST_024,Pathum Ratnayake,54,46-60,Male,Silver
CUST_025,Pathum Perera,25,18-25,Male,Silver
CUST_026,Rohan Gunawardena,59,46-60,Male,Platinum
CUST_027,Rohan Gunawardena,45,35-45,Male,Silver
CUST_028,Pathum Fernando,48,46-60,Male,Platinum
CUST_029,Tharindu Wickramasinghe,26,26-34,Male,Silver
CUST_030,Pathum Silva,46,46-60,Male,Gold
CUST_031,Ishani Wickramasinghe,31,26-34,Female,Bronze
CUST_032,Kavindi Gunawardena,57,46-60,Female,Bronze
CUST_033,Nimal Perera,58,46-60,Male,Platinum
CUST_034,Kasun Wickramasinghe,39,35-45,Male,Platinum
CUST_035,Duminda Ratnayake,28,26-34,Male,Silver
CUST_036,Tharushi Silva,40,35-45,Female,Silver
CUST_037,Kasun Gunawardena,18,18-25,Male,Silver
CUST_038,Anula Jayawardena,54,46-60,Female,Gold
CUST_039,Ishani Gunawardena,38,35-45,Female,Silver
CUST_040,Kavindi Gunawardena,43,35-45,Female,Bronze
CUST_041,Nilanthi Jayawardena,53,46-60,Female,Platinum
